epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
84,811.025,0.88914,0.73128,1.38857,0.00284,0.98143,0.5,0.66333,0.4975,1.17956,0.90988,1.18811,0.00137,0.000297226,0.000297226,0.000297226
85,817.814,0.85919,0.67351,1.35175,0.0069,0.98143,0.5,0.66333,0.4975,1.17956,0.90988,1.18811,0.00137,0.000280723,0.000280723,0.000280723
86,832.668,0.90448,0.68861,1.38443,0.00536,0.98143,0.5,0.66333,0.4975,1.17956,0.90988,1.18811,0.00137,0.00026422,0.00026422,0.00026422
87,841.188,0.84116,0.66511,1.42524,0.00721,0.98175,0.5,0.66333,0.51408,1.11762,0.89431,1.21192,0.0012,0.000247716,0.000247716,0.000247716
88,856.697,0.81506,0.67008,1.45917,0.00762,0.98175,0.5,0.66333,0.51408,1.11762,0.89431,1.21192,0.0012,0.000231213,0.000231213,0.000231213
89,864.86,0.89073,0.68039,1.38938,0.00737,0.9822,0.5,0.66333,0.53067,1.04989,0.88359,1.23771,0.00106,0.00021471,0.00021471,0.00021471
90,879.359,0.83026,0.72352,1.31555,0.00361,0.9822,0.5,0.66333,0.53067,1.04989,0.88359,1.23771,0.00106,0.000198206,0.000198206,0.000198206
91,894.903,0.79682,0.79808,1.26115,0.00189,0.9822,0.5,0.66333,0.53067,1.04989,0.88359,1.23771,0.00106,0.000181703,0.000181703,0.000181703
92,909.032,1.06238,0.92915,1.50423,0.00786,0.49372,0.95113,0.74625,0.57212,1.02565,0.90462,1.24583,0.00112,0.0001652,0.0001652,0.0001652
93,917.785,0.88892,0.85621,1.35531,0.00632,0.49372,0.95113,0.74625,0.57212,1.02565,0.90462,1.24583,0.00112,0.000148696,0.000148696,0.000148696
94,933.701,0.94389,0.80203,1.54467,0.00165,0.49372,0.95113,0.74625,0.57212,1.02565,0.90462,1.24583,0.00112,0.000132193,0.000132193,0.000132193
95,941.527,0.91664,0.77855,1.5416,0.00554,0.48794,0.92815,0.74625,0.57212,1.0054,0.93485,1.1993,0.00118,0.00011569,0.00011569,0.00011569
96,956.76,0.93252,0.76301,1.55564,0.003,0.48794,0.92815,0.74625,0.57212,1.0054,0.93485,1.1993,0.00118,9.91865e-05,9.91865e-05,9.91865e-05
97,964.574,1.03808,0.88201,1.53111,0.01026,0.9816,0.5,0.66333,0.53067,1.00166,1.00348,1.15608,0.00128,8.26832e-05,8.26832e-05,8.26832e-05
98,969.136,1.10844,0.95928,1.80582,0.00483,0.9816,0.5,0.66333,0.53067,1.00166,1.00348,1.15608,0.00128,6.61799e-05,6.61799e-05,6.61799e-05
99,973.314,0.8996,0.75636,1.39179,0.00276,0.9816,0.5,0.66333,0.53067,1.00166,1.00348,1.15608,0.00128,4.96766e-05,4.96766e-05,4.96766e-05
100,977.617,1.12137,0.90158,1.685,0.00535,0.98125,0.5,0.66333,0.53067,0.99104,1.07609,1.14354,0.00122,3.31733e-05,3.31733e-05,3.31733e-05
